CEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-6-1,24,21,18,19,17,14,94,73,43,1019,1018,1017,14,10,6,19,10,,0.00,1,,64
2015-6-2,23,21,18,19,18,15,94,78,61,1019,1018,1017,31,11,2,34,14,,0.00,2,Fog,76
2015-6-3,24,22,20,18,17,16,84,71,58,1021,1019,1018,26,14,10,29,23,,0.00,1,,88
2015-6-4,24,22,19,19,18,17,94,79,63,1021,1020,1018,14,11,9,29,24,,0.00,2,,81
2015-6-5,23,22,20,19,18,18,94,80,65,1020,1019,1017,14,11,10,34,26,,0.00,4,,86
2015-6-6,22,21,20,19,19,18,94,84,73,1021,1019,1018,14,10,5,29,23,37,0.00,6,,91
2015-6-7,24,22,21,18,16,14,83,65,53,1022,1019,1017,19,15,10,37,27,55,0.00,6,,90
2015-6-8,24,22,20,17,16,13,78,62,47,1019,1016,1014,19,15,10,39,26,58,0.00,5,,77
2015-6-9,27,22,18,17,14,9,83,60,26,1016,1015,1013,19,14,10,16,8,,0.00,3,Rain,146
2015-6-10,27,22,18,17,16,14,83,64,38,1014,1013,1012,14,11,9,21,11,,0.00,4,,222
2015-6-11,24,22,20,18,16,13,83,67,40,1015,1014,1012,19,12,6,32,19,,0.00,4,,251
2015-6-12,23,21,18,16,14,12,83,63,39,1016,1014,1013,26,15,10,32,23,,0.00,2,,259
2015-6-13,23,20,17,15,11,5,78,54,22,1017,1015,1014,26,16,10,29,18,,0.00,6,,260
2015-6-14,21,19,17,16,13,12,88,65,49,1018,1017,1015,26,15,9,29,19,,2.03,4,Rain,251
2015-6-15,24,20,17,16,13,8,94,64,25,1021,1018,1016,31,16,10,32,18,,0.00,3,Rain,251
2015-6-16,26,21,17,16,14,13,83,63,37,1022,1020,1018,31,17,10,27,18,,0.00,1,,223
2015-6-17,23,21,18,17,16,13,94,74,43,1021,1019,1018,26,17,10,21,13,,0.00,1,,69
2015-6-18,22,20,17,18,16,14,88,77,67,1021,1019,1018,26,15,10,26,18,47,0.00,1,,81
2015-6-19,24,21,18,19,17,14,94,76,44,1020,1017,1016,31,15,10,26,19,,0.00,1,,86
2015-6-20,25,21,18,19,17,13,100,76,37,1018,1017,1016,18,9,0,23,14,,0.00,1,Fog,80
2015-6-21,26,22,19,19,17,13,94,73,34,1019,1018,1017,26,14,10,19,13,,0.00,5,,90
2015-6-22,29,24,19,19,16,14,88,64,35,1019,1017,1015,19,12,8,26,11,,0.00,1,,229
2015-6-23,27,23,20,17,14,12,83,56,33,1017,1016,1014,31,17,10,27,23,,0.00,1,,255
2015-6-24,28,24,20,17,16,13,83,58,34,1019,1017,1015,31,17,10,32,23,,0.00,1,,223
2015-6-25,23,21,18,20,18,16,100,85,59,1022,1021,1019,16,8,0,27,14,,0.00,4,Fog,80
2015-6-26,25,22,19,20,19,17,100,79,53,1022,1021,1020,26,12,6,27,19,39,0.00,2,,102
2015-6-27,28,23,19,19,13,3,94,49,12,1021,1019,1018,31,17,10,24,18,40,0.00,1,,88
2015-6-28,28,23,18,20,17,12,94,66,36,1019,1018,1016,19,11,2,23,14,,0.00,1,Fog,74
2015-6-29,28,23,19,18,14,9,73,50,22,1019,1017,1015,26,17,10,19,11,29,0.00,,,105
2015-6-30,29,24,20,19,18,16,94,64,36,1017,1016,1014,18,12,9,23,13,,0.00,1,,194
